CountryName,Year,SuicideRate,GDP_PerCapita
Jordan,2020,2.9,4109.574819
Kazakhstan,2020,22.5,7714.841844
Kenya,2020,3.2,1410.527571
Kiribati,2020,14.4,1584.807446
Kuwait,2020,2.3,27653.1644
Latvia,2020,21.2,14133.68295
Lebanon,2020,3.3,7634.946544
Lesotho,2020,21.2,1119.719758
Liberia,2020,6.8,714.6233922
Libya,2020,5.2,4038.970683
Lithuania,2020,31.9,14982.53305
Luxembourg,2020,13.5,101305.5277
Madagascar,2020,3.9,400.0362751
Malawi,2020,3.7,315.7773264
Malaysia,2020,5.5,9671.024717
Maldives,2020,2.3,9282.723553
Mali,2020,4.8,779.874933
Malta,2020,7.5,25128.93738
Mauritania,2020,4.4,1135.558646
Mauritius,2020,7.8,9681.618567
Mexico,2020,5.1,8739.142471
Mongolia,2020,13,3660.150746
Montenegro,2020,10.3,7028.936577
Morocco,2020,2.9,2897.66344
Mozambique,2020,4.9,391.5528948
Myanmar,2020,7.8,1192.495338
Namibia,2020,8.7,4786.235303
Nepal,2020,8.8,777.1475955
Netherlands,2020,12.6,46007.85292
New Zealand,2020,12.1,40026.8522
Nicaragua,2020,12.2,2107.574238
Niger,2020,4.6,362.1311323
Nigeria,2020,9.5,2175.99967
Norway,2020,12.2,70941.52527
Oman,2020,3.9,14721.64733
Pakistan,2020,2.9,1368.454326
Panama,2020,4.3,14356.32405
Papua New Guinea,2020,6,2509.629007
Paraguay,2020,9.5,5319.410218
Peru,2020,4.9,6205.3709
Philippines,2020,3.2,2941.21204
Poland,2020,16.2,12431.57542
Portugal,2020,14,19977.39849
Qatar,2020,6.6,57163.06099
Romania,2020,10.4,9567.097782
Russia,2020,31,8745.375116
Rwanda,2020,6.7,726.353049
Samoa,2020,4.4,4043.694
Sao Tome and Principe,2020,2.3,1710.133948
Saudi Arabia,2020,3.2,19879.29753
Senegal,2020,6,1269.040407
Serbia,2020,15.6,5756.381194
Seychelles,2020,9.3,15077.83902
Sierra Leone,2020,9.7,501.4157129
Singapore,2020,9.9,56724.17039
Slovenia,2020,18.6,21617.57985
Solomon Islands,2020,4.7,1990.031497
South Africa,2020,11.6,5272.627749
Spain,2020,8.7,26622.29914
Sri Lanka,2020,14.6,3886.291502
